,index,crime_type,date,Beat,Neigborhood,NPU,lat,lon,type_crime,year,temperature,percentage_rain,rain_indicator
83580,83580,LARCENY-FROM VEHICLE,2020-01-31,602.0,Inman Park,N,33.76163,-84.35038,LARCENY,2020,41.91333333333333,0.20833333333333331,1
83581,83581,LARCENY-FROM VEHICLE,2020-01-31,602.0,Inman Park,N,33.76191,-84.36039,LARCENY,2020,41.91333333333333,0.20833333333333331,1
83582,83582,LARCENY-FROM VEHICLE,2020-01-31,604.0,Sweet Auburn,M,33.75253,-84.3721,LARCENY,2020,41.91333333333333,0.20833333333333331,1
83583,83583,LARCENY-FROM VEHICLE,2020-01-31,308.0,Norwood Manor,Z,33.69307,-84.35805,LARCENY,2020,41.91333333333333,0.20833333333333331,1
83584,83584,LARCENY-FROM VEHICLE,2020-01-31,510.0,Downtown,M,33.75833,-84.38665,LARCENY,2020,41.91333333333333,0.20833333333333331,1
83585,83585,LARCENY-FROM VEHICLE,2020-01-31,102.0,Vine City,L,33.757940000000005,-84.40449,LARCENY,2020,41.91333333333333,0.20833333333333331,1
83586,83586,LARCENY-FROM VEHICLE,2020-01-31,507.0,Castleberry Hill,M,33.751909999999995,-84.40002,LARCENY,2020,41.91333333333333,0.20833333333333331,1
83587,83587,LARCENY-FROM VEHICLE,2020-01-31,414.0,,P,33.67051,-84.50299,LARCENY,2020,41.91333333333333,0.20833333333333331,1
83588,83588,LARCENY-FROM VEHICLE,2020-01-31,614.0,Midtown,E,33.773790000000005,-84.37565,LARCENY,2020,41.91333333333333,0.20833333333333331,1
83589,83589,LARCENY-FROM VEHICLE,2020-01-31,403.0,Venetian Hills,S,33.715579999999996,-84.43189,LARCENY,2020,41.91333333333333,0.20833333333333331,1
83590,83590,LARCENY-FROM VEHICLE,2020-01-31,206.0,Buckhead Village,B,33.83732,-84.3786,LARCENY,2020,41.91333333333333,0.20833333333333331,1
83591,83591,LARCENY-FROM VEHICLE,2020-01-31,206.0,Buckhead Village,B,33.837070000000004,-84.37018,LARCENY,2020,41.91333333333333,0.20833333333333331,1
83592,83592,LARCENY-FROM VEHICLE,2020-01-31,211.0,Lindbergh/Morosgo,B,33.81825,-84.36695,LARCENY,2020,41.91333333333333,0.20833333333333331,1
83593,83593,LARCENY-FROM VEHICLE,2020-01-31,605.0,Grant Park,W,33.73995,-84.36438000000003,LARCENY,2020,41.91333333333333,0.20833333333333331,1
83594,83594,LARCENY-FROM VEHICLE,2020-01-31,507.0,Castleberry Hill,M,33.747279999999996,-84.40426,LARCENY,2020,41.91333333333333,0.20833333333333331,1
83595,83595,LARCENY-FROM VEHICLE,2020-01-31,601.0,Virginia Highland,F,33.77412,-84.36179,LARCENY,2020,41.91333333333333,0.20833333333333331,1
83596,83596,LARCENY-FROM VEHICLE,2020-01-31,411.0,Greenbriar,R,33.68845,-84.49328,LARCENY,2020,41.91333333333333,0.20833333333333331,1
83597,83597,LARCENY-FROM VEHICLE,2020-01-31,602.0,Inman Park,N,33.76204,-84.35725,LARCENY,2020,41.91333333333333,0.20833333333333331,1
